@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

communities.data,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,172,27,0,86.432161,13.567839,0,0.605304,0.131643,0.35617,43.292573,91.547146,137.88723,3352.400572,-3214.513343,0.692901,16.846234,-16.153333,66.723832,0.335296,9566.670084,0.876543,142,0.189189,7,0.810811,30,0.123457,20,0.95302,0.876543,0.913183,0.892559,0.864322,0.176968,0.823032,0.135678,0.887383,0.864322,0.871623,0.892249,0.084,0.017,0.09375,0,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,164,36,0,82,18,0,0.487472,0.179097,0.418527,58.464061,106.683266,140.29955,1530.945551,-1390.646,0.701498,7.654728,-6.95323,43.636285,0.218181,6265.020734,0.845679,137,0.289474,11,0.710526,27,0.154321,25,0.925676,0.845679,0.883871,0.866147,0.82,0.263795,0.736205,0.18,0.848451,0.82,0.829935,0.867335,0.081,0.019,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,166,34,0,83,17,0,0.524342,0.173482,0.406043,56.631244,103.500962,140.29955,2205.94706,-2065.64751,0.701498,11.029735,-10.328238,44.75232,0.223762,6425.2539,0.845679,137,0.236842,9,0.763158,29,0.154321,25,0.938356,0.845679,0.88961,0.904321,0.83,0.221163,0.778837,0.17,0.862106,0.83,0.840367,0.90341,0.079,0.017,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,172,28,0,86,14,0,0.586777,0.142326,0.373029,46.46068,95.085731,140.29955,1421.818447,-1281.518896,0.701498,7.109092,-6.407594,62.393327,0.311967,8958.037683,0.882716,143,0.236842,9,0.763158,29,0.117284,19,0.940789,0.882716,0.910828,0.929337,0.86,0.214126,0.785874,0.14,0.876831,0.86,0.86591,0.929137,0.079,0.019,0.078125,0.03125,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,169,31,0,84.5,15.5,0,0.570042,0.152121,0.386527,49.658192,98.526312,140.29955,2559.995686,-2419.696136,0.701498,12.799978,-12.098481,57.737874,0.288689,8289.637238,0.851852,138,0.184211,7,0.815789,31,0.148148,24,0.951724,0.851852,0.899023,0.901478,0.845,0.177359,0.822641,0.155,0.877987,0.845,0.854875,0.902204,0.078,0.019,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,162,37,0,81.407035,18.592965,0,0.496134,0.183653,0.424061,60.396637,108.997417,137.88723,2306.982941,-2169.095711,0.692901,11.592879,-10.899978,38.421491,0.193073,5508.762248,0.820988,133,0.216216,8,0.783784,29,0.179012,29,0.943262,0.820988,0.877888,0.85694,0.81407,0.209299,0.790701,0.18593,0.860847,0.81407,0.828177,0.858072,0.079,0.02,0.0625,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,175,24,0,87.939698,12.060302,0,0.63922,0.122611,0.344912,40.322217,88.653628,137.88723,2476.482835,-2338.595606,0.692901,12.444637,-11.751737,72.194885,0.362788,10351.093796,0.895062,145,0.189189,7,0.810811,30,0.104938,17,0.953947,0.895062,0.923567,0.912996,0.879397,0.173524,0.826476,0.120603,0.895259,0.879397,0.884655,0.911306,0.084,0.021,0.078125,0.03125,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,173,26,0,86.934673,13.065327,0,0.609155,0.134141,0.356891,44.114172,91.732507,137.88723,705.072627,-567.185397,0.692901,3.543079,-2.850178,65.374391,0.328515,9373.191176,0.888889,144,0.216216,8,0.783784,29,0.111111,18,0.947368,0.888889,0.917197,0.929596,0.869347,0.196674,0.803326,0.130653,0.885947,0.869347,0.875043,0.928231,0.077,0.018,0.0625,0.03125,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,167,32,0,83.919598,16.080402,0,0.575127,0.161476,0.397153,53.103737,102.081245,137.88723,1552.610814,-1414.723585,0.692901,7.802064,-7.109164,50.82199,0.255387,7286.710025,0.82716,134,0.108108,4,0.891892,33,0.17284,28,0.971014,0.82716,0.893333,0.890224,0.839196,0.120144,0.879856,0.160804,0.891059,0.839196,0.852454,0.891899,0.079,0.018,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,176,23,0,88.442211,11.557789,0,0.657487,0.116151,0.331721,38.197881,85.262957,137.88723,1281.71876,-1143.83153,0.692901,6.440798,-5.747897,75.44311,0.379111,10816.814869,0.895062,145,0.162162,6,0.837838,31,0.104938,17,0.960265,0.895062,0.926518,0.920003,0.884422,0.151523,0.848477,0.115578,0.901803,0.884422,0.88987,0.92081,0.079,0.018,0.078125,0,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
