@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

communities.data,2,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0331,1795,199,161,38,0,80.904523,19.095477,0,0.327104,0.186734,0.424787,61.409902,109.184119,137.88723,1690.351702,-1552.464472,0.692901,8.49423,-7.801329,36.438263,0.183107,5224.412755,0.901235,146,0.594595,22,0.405405,15,0.098765,16,0.869048,0.901235,0.884848,0.769937,0.809045,0.502405,0.497595,0.190955,0.797432,0.809045,0.802357,0.779041,0,47.204,0,44.15625,1848669,1599260,237872,?
communities.data,3,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0331,1794,200,171,29,0,85.5,14.5,0,0.481958,0.143406,0.373337,46.813317,95.164131,140.29955,1179.183049,-1038.883499,0.701498,5.895915,-5.194417,62.160024,0.3108,8924.541535,0.938272,152,0.5,19,0.5,19,0.061728,10,0.888889,0.938272,0.912913,0.838369,0.855,0.416728,0.583272,0.145,0.844483,0.855,0.847221,0.846702,0,46.895,0,44.40625,1851755,1598407,238725,?
communities.data,3,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0332,1794,200,168,32,0,84,16,0,0.458362,0.161023,0.399859,52.564262,101.924869,140.29955,1437.473234,-1297.173684,0.701498,7.187366,-6.485868,53.141445,0.265707,7629.711171,0.91358,148,0.473684,18,0.526316,20,0.08642,14,0.891566,0.91358,0.902439,0.812459,0.84,0.400104,0.599896,0.16,0.833933,0.84,0.836531,0.819635,0,47.7,0,44.4375,1852943,1598407,238725,?
communities.data,3,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0333,1794,200,171,29,0,85.5,14.5,0,0.493184,0.139641,0.368214,45.584372,93.858352,140.29955,856.869263,-716.569713,0.701498,4.284346,-3.582849,64.109685,0.320548,9204.461405,0.932099,151,0.473684,18,0.526316,20,0.067901,11,0.893491,0.932099,0.912387,0.906676,0.855,0.396585,0.603415,0.145,0.846308,0.855,0.849178,0.911136,0.001,48.166,0,44.1875,1847987,1598407,238725,?
communities.data,3,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0334,1794,200,164,36,0,82,18,0,0.349711,0.179207,0.41563,58.500226,105.944743,140.29955,1589.147075,-1448.847525,0.701498,7.945735,-7.244238,42.270574,0.211353,6068.940516,0.919753,149,0.605263,23,0.394737,15,0.080247,13,0.866279,0.919753,0.892216,0.784438,0.82,0.50551,0.49449,0.18,0.803472,0.82,0.809058,0.795456,0,47.115,0,44.59375,1851944,1598407,238725,?
communities.data,3,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0335,1795,199,168,31,0,84.422111,15.577889,0,0.432109,0.156241,0.389015,51.382102,99.989377,137.88723,1247.642297,-1109.755068,0.692901,6.269559,-5.576659,53.610619,0.2694,7686.535564,0.932099,151,0.540541,20,0.459459,17,0.067901,11,0.883041,0.932099,0.906907,0.83033,0.844221,0.452663,0.547337,0.155779,0.831743,0.844221,0.835542,0.836255,0.001,50.425,0,45.078125,1853148,1599260,237872,?
communities.data,3,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0335,1795,199,170,29,0,85.427136,14.572864,0,0.456233,0.145288,0.375898,47.779819,96.617971,137.88723,1409.410668,-1271.523438,0.692901,7.082466,-6.389565,59.285408,0.297917,8500.17042,0.944444,153,0.540541,20,0.459459,17,0.055556,9,0.884393,0.944444,0.913433,0.820904,0.854271,0.450367,0.549633,0.145729,0.841528,0.854271,0.843942,0.829,0,47.387,0,44.609375,1849542,1599260,237872,?
communities.data,3,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0336,1795,199,173,26,0,86.934673,13.065327,0,0.494628,0.127949,0.350379,42.077842,90.058741,137.88723,1105.799281,-967.912051,0.692901,5.55678,-4.86388,68.94955,0.34648,9885.787098,0.962963,156,0.540541,20,0.459459,17,0.037037,6,0.886364,0.962963,0.923077,0.866366,0.869347,0.446924,0.553076,0.130653,0.858989,0.869347,0.85681,0.871081,0,48.188,0,44.53125,1851243,1599260,237872,?
communities.data,3,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0337,1795,199,160,39,0,80.40201,19.59799,0,0.331697,0.197276,0.437924,64.876774,112.560744,137.88723,1688.915598,-1551.028369,0.692901,8.487013,-7.794112,31.78671,0.159732,4557.486491,0.888889,144,0.567568,21,0.432432,16,0.111111,18,0.872727,0.888889,0.880734,0.769269,0.80402,0.482699,0.517301,0.19598,0.797958,0.80402,0.800779,0.77507,0,47.485,0,44.28125,1848981,1599260,237872,?
communities.data,3,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0338,1795,199,173,26,0,86.934673,13.065327,0,0.539598,0.129659,0.356146,42.640262,91.541175,137.88723,952.066876,-814.179647,0.692901,4.784256,-4.091355,68.356593,0.3435,9800.770652,0.938272,152,0.432432,16,0.567568,21,0.061728,10,0.904762,0.938272,0.921212,0.871872,0.869347,0.363508,0.636492,0.130653,0.862492,0.869347,0.86477,0.878417,0.001,50.468,0,45.390625,1856034,1599260,237872,?
communities.data,3,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0339,1795,199,163,36,0,81.909548,18.090452,0,0.402402,0.179208,0.420904,58.935099,108.186077,137.88723,1678.052281,-1540.165052,0.692901,8.432424,-7.739523,41.730724,0.209702,5983.230526,0.888889,144,0.486486,18,0.513514,19,0.111111,18,0.888889,0.888889,0.888889,0.768936,0.819095,0.416693,0.583307,0.180905,0.819095,0.819095,0.819095,0.778381,0,46.907,0,44.0625,1847607,1599260,237872,?
communities.data,4,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0339,1794,200,166,34,0,83,17,0,0.424509,0.171388,0.408975,55.947567,104.248559,140.29955,1257.04243,-1116.74288,0.701498,6.285212,-5.583714,47.640207,0.238201,6839.878395,0.907407,147,0.5,19,0.5,19,0.092593,15,0.885542,0.907407,0.896341,0.843242,0.83,0.422593,0.577407,0.17,0.823466,0.83,0.826314,0.847255,0,47.513,0,44.828125,1851086,1598407,238725,?
communities.data,4,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.034,1794,200,161,39,0,80.5,19.5,0,0.31842,0.192173,0.430455,62.732722,109.723677,140.29955,1760.808932,-1620.509382,0.701498,8.804045,-8.102547,35.810681,0.179053,5141.470147,0.901235,146,0.605263,23,0.394737,15,0.098765,16,0.863905,0.901235,0.882175,0.757797,0.805,0.509029,0.490971,0.195,0.791699,0.805,0.797171,0.771177,0,50.145,0,45.40625,1853783,1598407,238725,?
communities.data,4,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0341,1794,200,162,38,0,81,19,0,0.328622,0.187884,0.427803,61.332492,109.047676,140.29955,1175.845662,-1035.546112,0.701498,5.879228,-5.177731,37.191592,0.185958,5339.732547,0.907407,147,0.605263,23,0.394737,15,0.092593,15,0.864706,0.907407,0.885542,0.823181,0.81,0.507856,0.492144,0.19,0.795412,0.81,0.801113,0.829801,0,48.932,0,45.296875,1852871,1598407,238725,?
communities.data,4,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0342,1794,200,166,34,0,83,17,0,0.424509,0.169863,0.40851,55.449824,104.130028,140.29955,1207.381311,-1067.081761,0.701498,6.036907,-5.335409,47.993244,0.239966,6890.565205,0.907407,147,0.5,19,0.5,19,0.092593,15,0.885542,0.907407,0.896341,0.839019,0.83,0.422593,0.577407,0.17,0.823466,0.83,0.826314,0.846411,0.001,51.599,0,46.078125,1852565,1598407,238725,?
communities.data,4,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0343,1795,199,178,21,0,89.447236,10.552764,0,0.632227,0.106422,0.321884,34.998385,82.734769,137.88723,883.354993,-745.467764,0.692901,4.43897,-3.746069,80.949828,0.406783,11606.352205,0.950617,154,0.351351,13,0.648649,24,0.049383,8,0.922156,0.950617,0.93617,0.874374,0.894472,0.295206,0.704794,0.105528,0.890147,0.894472,0.891451,0.881912,0,49.087,0,45.859375,1854450,1599260,237872,?
communities.data,4,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0344,1795,199,165,34,0,82.914573,17.085427,0,0.384237,0.172035,0.410784,56.575893,105.584954,137.88723,1343.880084,-1205.992854,0.692901,6.753166,-6.060266,45.331288,0.227795,6499.468918,0.919753,149,0.567568,21,0.432432,16,0.080247,13,0.876471,0.919753,0.89759,0.808392,0.829146,0.47696,0.52304,0.170854,0.816091,0.829146,0.820849,0.815945,0,50.598,0,45.015625,1849284,1599260,237872,?
